mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
53379.62000,-10.83266,0.01150,-10.24666,0.01770,-10.29166,0.01590,-10.00966,0.01900,SMARTS
53380.60200,-10.84866,0.01150,-10.23566,0.01680,-10.30666,0.01500,-9.99666,0.01900,SMARTS
53381.13679,-10.88914,0.00998,-10.22423,0.00998,-10.27303,0.00998,-9.98765,0.00998,Euler
53381.58800,-10.85366,0.01270,-10.21466,0.01780,-10.31766,0.01670,-10.00466,0.02020,SMARTS
53382.19456,-10.88157,0.01389,-10.20885,0.01389,-10.28416,0.01389,-10.00005,0.01389,Euler
53382.58300,-10.87866,0.01100,-10.25966,0.01600,-10.32366,0.01500,-10.00666,0.01900,SMARTS
53382.93672,-10.89793,0.00974,-10.25855,0.00974,-10.28873,0.00974,-10.04652,0.00974,Mercator
53383.12047,-10.89055,0.01125,-10.24390,0.01125,-10.30628,0.01125,-10.03127,0.01125,Euler
53383.61100,-10.88366,0.01260,-10.27466,0.01690,-10.29266,0.01680,-10.01066,0.01950,SMARTS
53385.12108,-10.90430,0.00678,-10.25033,0.00678,-10.30966,0.00678,-10.02161,0.00678,Euler
53385.59100,-10.90066,0.01200,-10.25666,0.01900,-10.26866,0.01800,-10.02766,0.02100,SMARTS
53386.18051,-10.91139,0.00968,-10.23467,0.00968,-10.32778,0.00968,-10.04670,0.00968,Euler
53386.60100,-10.91766,0.01050,-10.24166,0.01590,-10.27266,0.01500,-10.02866,0.01810,SMARTS
53387.12083,-10.91695,0.00698,-10.26548,0.00698,-10.30872,0.00698,-10.03922,0.00698,Euler
53387.59200,-10.90066,0.01000,-10.26566,0.01400,-10.32566,0.01400,-10.06766,0.01600,SMARTS
53388.16762,-10.91881,0.01195,-10.26111,0.01195,-10.31719,0.01195,-10.04292,0.01195,Euler
53389.09518,-10.92534,0.00923,-10.25887,0.00923,-10.34191,0.00923,-10.05464,0.00923,Euler
53393.94721,-10.92405,0.01286,-10.27049,0.01286,-10.32674,0.01286,-10.09714,0.01286,Mercator
53394.12043,-10.90321,0.00872,-10.24463,0.00872,-10.32757,0.00872,-10.11156,0.00872,Euler
53394.60400,-10.90466,0.01960,-10.29866,0.02870,-10.35266,0.02770,-10.10366,0.03310,SMARTS
53395.60300,-10.91366,0.01680,-10.26966,0.02640,-10.33966,0.02450,-10.16966,0.02770,SMARTS
53395.89056,-10.93103,0.00532,-10.32773,0.00532,-10.32682,0.00532,-10.16031,0.00532,Mercator
53396.54000,-10.91766,0.02240,-10.30366,0.03350,-10.30166,0.03290,-10.13066,0.03640,SMARTS
53397.55900,-10.92866,0.01000,-10.30466,0.01600,-10.34766,0.01500,-10.12366,0.01800,SMARTS
53398.55300,-10.94766,0.01050,-10.26766,0.01500,-10.32566,0.01410,-10.15966,0.01610,SMARTS
53399.12215,-10.93394,0.00748,-10.28340,0.00748,-10.33054,0.00748,-10.15975,0.00748,Euler
53399.57700,-10.94166,0.01050,-10.28366,0.01590,-10.30366,0.01500,-10.17666,0.01610,SMARTS
53402.52700,-10.94266,0.01100,-10.27166,0.01900,-10.33466,0.01800,-10.17166,0.02000,SMARTS
53403.55900,-10.94466,0.01050,-10.32566,0.01490,-10.34266,0.01490,-10.16466,0.01610,SMARTS
53404.57300,-10.93866,0.01100,-10.33266,0.01600,-10.29866,0.01500,-10.14666,0.01700,SMARTS
53405.11586,-10.91606,0.00840,-10.28904,0.00840,-10.32969,0.00840,-10.15338,0.00840,Euler
53405.56000,-10.93066,0.01000,-10.32366,0.01400,-10.34166,0.01400,-10.14466,0.01600,SMARTS
53406.56300,-10.93066,0.01140,-10.30866,0.01580,-10.32066,0.01580,-10.17666,0.01700,SMARTS
53407.11479,-10.92842,0.01071,-10.28866,0.01071,-10.30465,0.01071,-10.14068,0.01071,Euler
53407.56000,-10.91766,0.01100,-10.32466,0.01600,-10.32566,0.01500,-10.13966,0.01700,SMARTS
53408.06553,-10.92278,0.01441,-10.33789,0.01441,-10.32908,0.01441,-10.14708,0.01441,Euler
53408.57300,-10.92466,0.01140,-10.33166,0.01580,-10.34166,0.01580,-10.16666,0.01700,SMARTS
53409.07536,-10.93363,0.01319,-10.33347,0.01319,-10.31750,0.01319,-10.14427,0.01319,Euler
53409.55900,-10.92166,0.01000,-10.31066,0.01500,-10.33766,0.01400,-10.15066,0.01600,SMARTS
